COD_ACQ;ACQUEDOTTO;COMUNE;SIGLA_PROV;CAP;DISTRETTO;COD_PROD;PRODUTTORE;LUOGO_PREL;ETICHETTA;NOTE
ACQ015;ACQUEDOTTO DE LA LECCIA;CASTELNUOVO VAL DI CECINA;PI;56041;AVC;CV42;FONTANA LA LECCIA - PIAZZA;AVC;http://www.datiopen.it/asa_qualita_acque/ACQ015.pdf;OK
ACQ016;ACQUEDOTTO DI CASTELNUOVO VAL DI CECINA;CASTELNUOVO VAL DI CECINA;PI;56041;AVC;CV29;FONTANA PARCO;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ016.pdf;OK
ACQ017;ACQUEDOTTO DI MONTECASTELLI-SARACILIERI;CASTELNUOVO VAL DI CECINA;PI;56041;AVC;CV35;FONT. MONTECASTELLI PIAZZA;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ017.pdf;OK
ACQ018;ACQUEDOTTO DI SASSO PISANO;CASTELNUOVO VAL DI CECINA;PI;56041;AVC;CV33;FONT. VIA LAGONI - SASSO PISANO;AVC;http://www.datiopen.it/asa_qualita_acque/ACQ018.pdf;OK
ACQ019;ACQUEDOTTO DI CECINA;CECINA;LI;57023;BVC;CN28;PIAZZA CARDUCCI;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ019.pdf;OK
ACQ020;ACQUEDOTTO DI COLLESALVETTI;COLLESALVETTI;LI;57014;NORD;C03;VIA GROCCO (P.ZZA COMUNE COLLESALVETTI);FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ020-DEF.pdf;OK
ACQ021;ACQUEDOTTO DI GUARDISTALLO;GUARDISTALLO;PI;56040;BVC;G08;SERB. CASTELLO OUT (P.ZZA PEBLISCITO);SERBATOIO DI RILANCIO CON COACERVO DI ACQUE;http://www.datiopen.it/asa_qualita_acque/ACQ021.pdf;OK
ACQ022;ACQUEDOTTO DI LIVORNO;LIVORNO;LI;57100;NORD;L01;CISTERNONE;SERBATOIO DI RILANCIO CON COACERVO DI ACQUE;http://www.datiopen.it/asa_qualita_acque/ACQ022_S.pdf;OK
ACQ022;ACQUEDOTTO DI LIVORNO;LIVORNO;LI;57100;NORD;L02;BANDITELLA;SERBATOIO DI RILANCIO CON COACERVO DI ACQUE;http://www.datiopen.it/asa_qualita_acque/ACQ022_N.pdf;OK
ACQ023;ACQUEDOTTO DI CAVOLI-CHIESSI;CAMPO NELL'ELBA;LI;57034;ELBA;CO20;FONT. LOC. CAVOLI;ELBA;http://www.datiopen.it/asa_qualita_acque/ACQ023.pdf;OK
ACQ024;ACQUEDOTTO DI MARCIANA;MARCIANA;LI;57030;ELBA;MA27;FONT. SAN AGABITO - VIA RENA;ELBA;http://www.datiopen.it/asa_qualita_acque/ACQ024.pdf;OK
ACQ025;ACQUEDOTTO DI MARCIANA MARINA;MARCIANA MARINA;LI;57033;ELBA;MA64;FONT. VIA ROMA - MARCIANA MARINA;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ025.pdf;OK
ACQ026;ACQUEDOTTO DI PONTEGINORI-GELLO;MONTECATINI VAL DI CECINA;PI;56040;AVC;MC27;FONT. PIAZZA DANTE PONTEGINORI;AVC;http://www.datiopen.it/asa_qualita_acque/ACQ026.pdf;OK
ACQ027;ACQUEDOTTO DI MONTECATINI VAL DI CECINA;MONTECATINI VAL DI CECINA;PI;56040;AVC;MC24;FONT PIAZZA REPUBBLICA;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ027.pdf;OK
ACQ028;ACQUEDOTTO DI QUERCETO;MONTECATINI VAL DI CECINA;PI;56040;AVC;MC29;FONT QUERCETO;AVC;http://www.datiopen.it/asa_qualita_acque/ACQ028.pdf;OK
ACQ029;ACQUEDOTTO DE LA SASSA;MONTECATINI VAL DI CECINA;PI;56040;AVC;MC28;FONT LAVATOIO LA SASSA;AVC;http://www.datiopen.it/asa_qualita_acque/ACQ029.pdf;OK
ACQ030;ACQUEDOTTO DI MONTESCUDAIO-MEZZAVIA;MONTESCUDAIO;PI;56040;BVC;MS07;VIA ROMA P.ZZA MATTEOTTI;FONTANELLA;http://www.datiopen.it/asa_qualita_acque/ACQ030.pdf;OK
ACQ031;ACQUEDOTTO DI MONTEVERDI MARITTIMO;MONTEVERDI MARITTIMO;PI;56040;VDC;MV06;PIAZZA DELLA CHIESA (MONTEVERDI);VC;http://www.datiopen.it/asa_qualita_acque/ACQ031.pdf;Il punto di prelievo ̬ fuori
